Historical Prices - TA-90
From 03/06/2012 To 03/06/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
29/06/2015,836.51,825.60,831.16,838.01,823.39,137042280
28/06/2015,859.93,853.55,836.51,853.55,836.47,137938579
25/06/2015,848.32,848.76,859.93,859.93,848.76,141509934
24/06/2015,855.03,857.33,848.32,858.93,845.39,141191523
23/06/2015,868.39,874.07,855.03,874.16,855.03,142358707
22/06/2015,875.46,878.01,868.39,879.15,868.09,144451950
21/06/2015,866.65,869.63,875.46,876.07,869.15,145635660
18/06/2015,864.55,867.64,866.65,868.86,864.67,144354972
17/06/2015,853.37,855.48,864.55,864.55,855.48,143897407
16/06/2015,844.34,844.57,853.37,853.93,844.57,142730108
15/06/2015,847.94,848.27,844.34,850.52,844.17,141259779
14/06/2015,847.92,850.26,847.94,850.85,845.79,141919672
11/06/2015,844.73,846.83,847.92,852.64,846.83,134709965
10/06/2015,854.36,852.99,844.73,855.39,843.03,134274970
09/06/2015,867.51,869.77,854.36,869.77,854.36,135881381
08/06/2015,869.42,871.40,867.51,874.98,867.51,137719294
07/06/2015,874.33,877.46,869.42,877.46,869.42,137940812
04/06/2015,877.31,880.26,874.33,880.49,866.16,138818693
03/06/2015,877.38,882.48,877.31,882.48,875.84,139418075
02/06/2015,880.13,885.76,877.38,885.76,875.30,139393638
01/06/2015,869.41,875.10,880.13,882.75,873.07,139707893
31/05/2015,869.45,866.21,869.41,869.84,864.46,138181175
28/05/2015,873.30,875.82,869.45,877.21,866.28,138109392
27/05/2015,875.03,878.73,873.30,878.89,870.22,138787129
26/05/2015,881.36,882.04,875.03,884.66,873.62,139214385
25/05/2015,879.48,884.51,881.36,886.43,879.23,140396653
21/05/2015,879.78,879.53,879.48,881.09,877.49,140372195
20/05/2015,881.08,885.13,879.78,886.02,877.21,140345182
19/05/2015,873.34,880.20,881.08,889.39,878.01,140481144
18/05/2015,856.71,858.15,873.34,874.26,856.54,139361115
17/05/2015,855.00,856.31,856.71,857.76,854.14,136667158
14/05/2015,861.84,860.77,855.00,862.30,853.51,136373658
13/05/2015,857.18,864.00,861.84,871.33,859.05,137357974
12/05/2015,871.41,868.44,857.18,871.58,854.27,135949723
11/05/2015,868.78,868.84,871.41,874.02,868.80,137907662
10/05/2015,856.60,866.58,868.78,869.99,866.58,137466820
07/05/2015,865.45,864.68,856.60,864.84,851.82,135743063
06/05/2015,872.73,872.10,865.45,872.10,864.13,137233809
05/05/2015,873.17,875.44,872.73,876.21,868.65,138150592
04/05/2015,862.92,859.75,873.17,873.48,859.75,138155182
03/05/2015,867.64,874.60,862.92,875.99,860.08,136716397
30/04/2015,867.12,866.38,867.64,872.88,863.52,137407586
29/04/2015,873.86,876.82,867.12,876.91,864.88,137085900
28/04/2015,891.26,890.21,873.86,890.63,872.51,138204985
27/04/2015,895.35,899.23,891.26,899.50,888.95,140594094
26/04/2015,895.67,897.41,895.35,898.20,893.10,141180416
21/04/2015,889.69,893.93,895.67,896.34,892.83,140999117
20/04/2015,885.96,886.21,889.69,890.92,885.81,140147765
19/04/2015,904.05,899.52,885.96,899.52,885.96,139690323
16/04/2015,905.58,910.14,904.05,910.56,899.19,142283851
15/04/2015,902.45,906.78,905.58,907.04,899.83,142681561
14/04/2015,908.92,910.23,902.45,910.23,899.65,142277453
13/04/2015,905.22,902.87,908.92,908.92,901.63,143235583
12/04/2015,897.79,904.87,905.22,907.20,902.69,142929367
08/04/2015,907.40,907.43,897.79,907.43,896.85,141973046
07/04/2015,895.58,900.65,907.40,909.11,900.38,143413993
06/04/2015,885.09,890.05,895.58,895.58,886.56,141451108
05/04/2015,874.12,878.97,885.09,885.09,877.63,139864355
02/04/2015,874.55,879.30,874.12,879.40,874.12,138196160
01/04/2015,867.77,870.25,874.55,878.28,863.79,138306853
31/03/2015,871.42,874.79,867.77,874.79,864.30,136917796
30/03/2015,873.63,878.80,871.42,881.51,869.53,137441590
29/03/2015,872.17,872.61,873.63,875.98,871.75,137806997
26/03/2015,879.48,867.17,872.17,872.90,866.32,136925179
25/03/2015,873.50,876.10,879.48,879.50,870.97,137961303
24/03/2015,871.52,874.69,873.50,879.45,869.22,136889378
23/03/2015,879.04,883.53,871.52,883.89,862.11,136418921
22/03/2015,878.62,885.21,879.04,891.16,879.04,137732993
19/03/2015,871.12,873.70,878.62,880.32,868.50,137559401
18/03/2015,860.80,863.69,871.12,872.66,863.37,136257215
16/03/2015,853.46,852.89,860.80,862.31,852.89,134560061
15/03/2015,865.40,869.31,853.46,869.90,850.69,133482963
12/03/2015,873.52,870.92,865.40,874.66,865.40,135797799
11/03/2015,875.94,871.60,873.52,879.23,871.39,137032570
10/03/2015,883.68,887.51,875.94,887.68,874.49,137331199
09/03/2015,882.53,886.22,883.68,886.92,876.02,138379585
08/03/2015,888.89,892.31,882.53,892.31,882.04,137958820
04/03/2015,891.05,890.76,888.89,891.43,886.91,138986763
03/03/2015,885.65,889.32,891.05,893.17,887.52,139200113
02/03/2015,885.40,888.62,885.65,889.59,880.85,138361074
01/03/2015,875.84,880.81,885.40,885.40,878.03,138379701
26/02/2015,872.69,878.13,875.84,878.58,870.36,136803389
25/02/2015,857.81,858.44,872.69,872.69,858.36,136211672
24/02/2015,858.23,864.90,857.81,865.60,854.60,133814606
23/02/2015,855.05,859.31,858.23,860.06,852.96,133965797
22/02/2015,847.05,847.05,855.05,855.86,847.05,133660996
19/02/2015,841.75,838.16,847.05,850.59,838.08,132518528
18/02/2015,840.42,841.15,841.75,842.13,839.51,131641511
17/02/2015,839.66,842.78,840.42,842.78,837.01,131336818
